"123_part1" "123_part2" "123_part3" "123_part4" "152_part1" "152_part2" "165_part1" "165_part2" "226_part1" "226_part2" "226_part3" "227_part1" "227_part2" "233_part1" "233_part2" "belov_part1" "belov_part2" "belov_part3" "belov_part4" "belov_part5" "erkhov_part1" "erkhov_part2" "erkhov_part3" "erkhov_part4" "gasparov_part1" "gasparov_part2" "gasparov_part3" "gasparov_part4" "gasparov_part5" "gasparov_part6" "gasparov_part7" "gasparov_part8" "gasparov_part9" "karelsky_part1" "karelsky_part2" "karelsky_part3" "karelsky_part4" "karelsky_part5" "karelsky_part6" "karelsky_part7" "karelsky_part8" "karelsky_part9" "kostyrko_part1" "kostyrko_part2" "rynkevich_part1" "rynkevich_part2" "rynkevich_part3" "sanovich_part1" "sanovich_part2" "sanovich_part3" "sanovich_part4" "shishkin_part1" "shishkin_part2" "shishkin_part3" "shishkin_part4" "shishkin_part5" "smirnov_part1" "smirnov_part2" "smirnov_part3" "smirnov_part4" "zhidkov_part1" "zhidkov_part2" "zhivotovsky_part1" "zhivotovsky_part2"
"и" 4.15589580433486 4.06101426307448 3.85302879841112 3.31349206349206 3.66574694521088 3.40999206978588 3.15977742448331 3.74 5.50476947535771 5.46393800913968 5.29259037347713 4.35390453365289 4.66042620991834 3.41202142432057 3.96432111000991 4.32711393410083 3.74628344895937 4.48882736800475 4.35560859188544 3.67866375024856 3.5835158271949 3.99761336515513 4.51561567535309 3.49692032584939 5.35395597858418 5.42144835773645 4.85572139303483 3.85762577053092 5.13990871204604 4.07554671968191 4.03899721448468 3.96256471525289 5.01193317422434 3.91613924050633 4.3960396039604 3.38011464716347 4.23543448001591 4.19733439427094 3.35850556438792 3.7029702970297 3.68974409839318 3.62161092420344 4.00317082837891 4.48028673835125 4.60067715594503 4.81569560047562 4.98504486540379 2.76741903827282 3.41948310139165 3.48328025477707 3.94029850746269 4.67475631589417 3.95783611774065 3.67720135161996 4.34262948207171 4.86249501793543 3.96432111000991 3.70590566785573 3.64428599722717 4.25489808034831 3.87225548902196 3.43450479233227 3.94500896592947 3.79296720663769
"в" 2.68443030423543 3.46671949286846 2.91956305858987 3.39285714285714 2.95624753646039 2.89452815226011 3.25914149443561 4.12 2.62321144674086 2.24518180011921 3.33533053724785 3.73477132015179 3.3061143198566 3.55088276135687 2.93359762140733 3.27510917030568 3.56788899900892 3.32212774372157 3.42084327764519 3.53947106780672 2.96635476806689 3.73906125696102 3.02367217028049 3.00019868865488 2.73646638905413 1.82034032449545 2.62686567164179 2.84350765559753 2.54018654494939 2.76341948310139 2.76561878233187 2.2700119474313 2.24741447891806 3.40189873417722 3.06930693069307 2.27317651709824 2.80373831775701 3.50109409190372 2.12639109697933 2.77227722772277 3.7095814322555 3.93825450227588 2.79429250891795 3.38510553564317 2.60904202350129 3.36900515259612 2.77168494516451 2.8459273797841 3.08151093439364 2.68710191082803 3.62189054726368 3.83926795305351 3.73906125696102 3.79646193599682 2.92828685258964 3.08888003188521 2.81466798810704 2.73483947681332 2.75302040007922 2.88937264991094 2.85429141716567 2.29632587859425 3.08826459454075 3.67443698143026
"не" 1.55100417578047 1.34706814580032 1.56901688182721 1.58730158730159 1.34016554986204 1.050753370341 1.19236883942766 1.32 1.49046104928458 1.66898470097357 1.13840623127621 1.31815458358298 1.23481378211512 0.952192025391787 1.82358771060456 1.66732830488289 1.44697720515362 1.75993672137631 1.55131264916468 1.7498508649831 2.03065896874378 1.6109785202864 1.81022478615476 1.98688654877806 1.42772159428911 1.14760585674713 1.41293532338308 2.04812089878704 1.76622345703513 1.70974155069583 1.17389574214087 2.0310633213859 1.63086714399364 1.66139240506329 2.05940594059406 1.83830796600119 1.590773513621 1.94947284662821 1.9872813990461 1.82178217821782 1.48780003967467 1.72174945576885 1.84304399524376 1.37395459976105 1.39414459271062 1.14942528735632 1.33599202392822 1.62904808635918 1.96819085487078 1.89092356687898 1.51243781094527 1.39248060473443 1.23309466984885 1.33174319220831 2.01195219123506 1.99282582702272 1.42715559960357 1.70432025366627 1.54486036838978 1.38531565406689 1.47704590818363 2.09664536741214 1.27515441322973 1.24456736467799
"на" 2.0680055677073 1.52535657686212 1.46971201588878 1.54761904761905 1.39929050059125 1.50674068199841 1.62957074721781 1.54 1.41096979332273 1.3312139876813 1.27821050529259 1.39804274016377 1.05556662019518 1.09105336242809 1.60555004955401 1.54823342596268 1.54608523290387 1.54241645244216 2.00875099443119 1.45158083117916 1.9709337049572 1.55131264916468 1.49194350507261 1.58950923902245 1.48720999405116 1.89948555599525 1.75124378109453 1.41181149333864 1.60746179797579 1.5506958250497 1.63151611619578 1.57307845479888 1.57120127287192 1.76028481012658 1.52475247524752 1.4825064241945 1.39192682441837 1.3725880246668 1.03338632750397 1.48514851485149 2.00357072009522 1.91965169206412 1.94213238208482 1.41377937076862 1.47380999800836 1.56559651208878 1.29611166500499 1.4720314033366 2.18687872763419 1.59235668789809 1.33333333333333 1.05430674358464 1.15354017501989 1.74915523752733 0.97609561752988 1.33519330410522 1.22893954410307 1.20887831946096 1.06951871657754 1.60300811399169 1.39720558882236 1.71725239616613 1.49432157800359 1.40260766495456
"он" 2.12765957446809 1.62440570522979 2.08540218470705 1.32936507936508 1.06424911312574 1.54639175257732 1.51033386327504 1.06 1.13275039745628 1.31134512219352 0.898741761533853 0.679049330936689 0.776737701653057 1.7853600476096 1.38751238850347 1.21079793568877 1.60555004955401 1.68083844176389 1.43198090692124 1.39192682441837 1.83157475612184 1.82975338106603 2.54625024865725 2.52334591694814 0.971643862780091 0.573802928373566 1.25373134328358 1.01411811493339 1.52808096844612 1.21272365805169 1.57182650218862 1.45360414177618 1.17342879872713 0.929588607594937 0.514851485148515 1.26507214864598 0.755617418969974 0.87527352297593 1.09300476947536 1.20792079207921 1.17040269787741 1.12804274688304 1.05033690051526 0.955794504181601 1.1750647281418 1.44669044787951 1.47557328015952 2.72816486751717 1.72962226640159 2.12977707006369 1.73134328358209 1.03441416351701 1.21320604614161 1.29198966408269 1.63346613545817 1.29533678756477 1.26858275520317 1.20887831946096 1.14874232521291 0.870769839699189 1.53692614770459 0.479233226837061 1.27515441322973 1.10628210193599
"что" 1.33227281765759 1.72345483359746 1.27110228401192 1.94444444444444 1.08395743003548 0.971451229183188 1.19236883942766 0.64 1.19236883942766 1.47029604609577 0.918713800679049 0.938685839824246 0.936068512248556 1.34893870263837 2.87413280475719 1.44898769352918 1.16947472745292 1.42376903302353 1.69053301511535 1.2726188108968 0.856062114274338 0.73587907716786 1.23333996419336 0.953705543413471 0.753519730319254 0.455085081123862 0.477611940298507 0.715848081129449 0.635046636237349 1.01391650099404 0.596896140071628 0.557546794105934 0.596658711217184 1.12737341772152 1.00990099009901 1.66040719509785 1.51123483793995 1.13387706385518 1.58982511923688 1.42574257425743 1.34893870263837 1.30615475954878 1.30796670630202 0.955794504181601 1.77255526787493 1.28814902893381 1.65503489531406 2.198233562316 2.16699801192843 2.26910828025478 1.73134328358209 1.25323254426099 1.78997613365155 1.49075730471079 2.54980079681275 1.65404543642886 1.28840436075322 1.40705509314308 1.36660724896019 1.10825252325351 1.11776447105788 1.15814696485623 1.25523012552301 0.869221651521138
"с" 1.47146550009942 1.26782884310618 1.46971201588878 1.92460317460317 1.00512416239653 1.28865979381443 1.33147853736089 1.18 1.09300476947536 0.854361215974568 0.938685839824246 1.13840623127621 1.3343955387373 1.38861337036302 1.22893954410307 1.50853513298928 1.11000991080278 1.34467075341111 1.17342879872713 1.01411811493339 1.27413896078041 1.33253778838504 1.29301770439626 1.37095171865686 1.34840372793972 0.989315393747527 1.09452736318408 0.894810101411811 0.873189124826354 1.25248508946322 0.935137286112216 0.896057347670251 1.03420843277645 1.52294303797468 1.26732673267327 1.60110693813007 1.65042752038179 0.9150586831112 1.21224165341812 1.26732673267327 1.32910136877604 1.28636453591926 1.32778438367023 1.5531660692951 0.936068512248556 1.34760206103845 0.957128614157527 1.82531894013739 1.35188866799205 1.43312101910828 1.33333333333333 1.13387706385518 1.07398568019093 1.05346849532896 0.916334661354582 1.43483459545636 1.03072348860258 1.07015457788347 1.44583085759556 1.42489610132594 1.21756487025948 0.678913738019169 1.55409444112373 1.52113789016199
"его" 1.17319546629549 1.36687797147385 1.50943396226415 1.26984126984127 0.886874260938116 1.0904044409199 1.64944356120827 1.36 0.814785373608903 1.03318100536459 1.09846215298582 1.09846215298582 1.07548297151962 1.68617337829796 0.594648166501487 0.853513298928146 1.07036669970268 1.3051216136049 0.954653937947494 1.05388745277391 1.51304001592674 1.29276054097056 1.05430674358464 1.2318696602424 1.03113226254214 0.890383854372774 1.39303482587065 0.795386756810499 0.793808295296686 1.19284294234592 1.13410266613609 0.975706889685384 0.974542561654734 0.969145569620253 0.653465346534653 1.12670488238782 0.636309405448399 1.05430674358464 0.934022257551669 1.04950495049505 0.733981352906169 0.79160894518108 0.753071739992073 0.677021107128634 1.21489743079068 1.44669044787951 1.83449651046859 1.96270853778214 1.29224652087475 1.43312101910828 1.09452736318408 0.994629003381739 1.15354017501989 1.01371496720334 1.15537848605578 1.45476285372658 1.30822596630327 1.22869599682917 0.792236086353733 1.28636453591926 0.758483033932136 0.718849840255591 0.996214385335724 0.948241801659423
"но" 0.536886060847087 0.713153724247227 0.695134061569017 0.535714285714286 0.7686243594797 0.535289452815226 0.536565977742448 0.56 0.934022257551669 0.735148023047884 1.07849011384062 0.559217096065508 0.398327026488747 0.634794683594525 0.693756194251734 1.44898769352918 0.733399405351833 1.40399446312043 1.13365155131265 0.954464108172599 0.856062114274338 0.73587907716786 0.974736423314104 0.894098946950129 0.594883997620464 0.573802928373566 0.975124378109453 0.894810101411811 0.773963087914269 0.437375745526839 0.855551134102666 0.876144962166468 0.676213206046142 0.771360759493671 0.712871287128713 0.968570863807076 0.974348777092861 0.994629003381739 0.834658187599364 0.851485148514851 0.991866693116445 0.850979616069662 1.01070154577883 0.696933492632417 0.75682135032862 0.693618707887436 0.777666999002991 0.804710500490677 1.0337972166998 0.855891719745223 0.835820895522388 0.477421921623235 0.338106603023071 0.616179685947128 0.657370517928287 0.63770426464727 1.03072348860258 0.911613158937773 0.930877401465637 0.910350286958243 0.778443113772455 0.678913738019169 0.677425782028293 0.632161201106282
"а" 0.576655398687612 0.772583201267829 0.774577954319762 0.396825396825397 0.670082774931021 0.356859635210151 0.457074721780604 0.46 0.914149443561208 1.47029604609577 0.639105252646295 0.439384861194328 0.67715594503087 0.35707200952192 0.693756194251734 0.476379515680826 0.555004955401388 0.25706940874036 0.437549721559268 0.695963412209187 0.35835158271949 0.576770087509944 0.576884821961408 0.6159348301212 1.92345825897283 1.32568262762169 0.995024875621891 1.23284947305627 1.78606866441754 1.74950298210736 1.15399920413848 1.0752688172043 1.07398568019093 0.514240506329114 0.613861386138614 0.751136588258549 0.417578047325512 0.696240302367217 0.37758346581876 0.811881188118812 0.575282682007538 0.870769839699189 0.97106619104241 0.915969733174034 0.557657837084246 0.594530321046373 0.378863409770688 0.608439646712463 0.337972166998012 0.238853503184713 0.537313432835821 0.537099661826139 0.636435958631663 0.536672629695885 0.49800796812749 0.617776006377043 0.951437066402379 0.772889417360285 1.20816003168944 1.26657431228973 0.538922155688623 0.658945686900958 0.637577206614864 0.572896088502568
