,Source,Target,Weight,Type
1,X123_part1,X123_part2,4,undirected
2,X123_part1,belov_part2,2,undirected
3,X123_part1,erkhov_part1,5,undirected
4,X123_part1,karelsky_part2,1,undirected
5,X123_part1,karelsky_part3,2,undirected
6,X123_part1,karelsky_part4,3,undirected
7,X123_part1,sanovich_part1,2,undirected
8,X123_part1,sanovich_part2,1,undirected
9,X123_part1,shishkin_part1,3,undirected
10,X123_part1,shishkin_part2,2,undirected
11,X123_part2,X123_part1,4,undirected
12,X123_part2,belov_part1,3,undirected
13,X123_part2,belov_part2,2,undirected
14,X123_part2,erkhov_part2,1,undirected
15,belov_part1,X123_part2,3,undirected
16,belov_part1,belov_part2,6,undirected
17,belov_part1,karelsky_part1,4,undirected
18,belov_part1,shishkin_part1,1,undirected
19,belov_part1,smirnov_part1,2,undirected
20,belov_part1,smirnov_part2,1,undirected
21,belov_part2,X123_part1,2,undirected
22,belov_part2,X123_part2,2,undirected
23,belov_part2,belov_part1,6,undirected
24,belov_part2,karelsky_part1,1,undirected
25,belov_part2,sanovich_part1,1,undirected
26,belov_part2,shishkin_part1,2,undirected
27,belov_part2,shishkin_part2,3,undirected
28,erkhov_part1,X123_part1,5,undirected
29,erkhov_part1,erkhov_part2,6,undirected
30,erkhov_part1,sanovich_part2,3,undirected
31,erkhov_part2,X123_part2,1,undirected
32,erkhov_part2,erkhov_part1,6,undirected
33,erkhov_part2,sanovich_part2,2,undirected
34,gasparov_part1,gasparov_part2,1,undirected
35,gasparov_part1,gasparov_part3,6,undirected
36,gasparov_part1,gasparov_part4,3,undirected
37,gasparov_part2,gasparov_part1,1,undirected
38,gasparov_part2,gasparov_part3,5,undirected
39,gasparov_part2,gasparov_part4,5,undirected
40,gasparov_part2,karelsky_part4,1,undirected
41,gasparov_part3,gasparov_part1,6,undirected
42,gasparov_part3,gasparov_part2,5,undirected
43,gasparov_part3,gasparov_part4,3,undirected
44,gasparov_part4,gasparov_part1,3,undirected
45,gasparov_part4,gasparov_part2,5,undirected
46,gasparov_part4,gasparov_part3,3,undirected
47,karelsky_part1,belov_part1,4,undirected
48,karelsky_part1,belov_part2,1,undirected
49,karelsky_part1,karelsky_part4,5,undirected
50,karelsky_part2,X123_part1,1,undirected
51,karelsky_part2,karelsky_part3,6,undirected
52,karelsky_part2,karelsky_part4,5,undirected
53,karelsky_part2,smirnov_part2,2,undirected
54,karelsky_part3,X123_part1,2,undirected
55,karelsky_part3,karelsky_part2,6,undirected
56,karelsky_part3,karelsky_part4,1,undirected
57,karelsky_part4,X123_part1,3,undirected
58,karelsky_part4,gasparov_part2,1,undirected
59,karelsky_part4,karelsky_part1,5,undirected
60,karelsky_part4,karelsky_part2,5,undirected
61,karelsky_part4,karelsky_part3,1,undirected
62,karelsky_part4,smirnov_part1,1,undirected
63,sanovich_part1,X123_part1,2,undirected
64,sanovich_part1,belov_part2,1,undirected
65,sanovich_part1,sanovich_part2,6,undirected
66,sanovich_part2,X123_part1,1,undirected
67,sanovich_part2,erkhov_part1,3,undirected
68,sanovich_part2,erkhov_part2,2,undirected
69,sanovich_part2,sanovich_part1,6,undirected
70,sanovich_part2,shishkin_part2,1,undirected
71,shishkin_part1,X123_part1,3,undirected
72,shishkin_part1,belov_part1,1,undirected
73,shishkin_part1,belov_part2,2,undirected
74,shishkin_part2,X123_part1,2,undirected
75,shishkin_part2,belov_part2,3,undirected
76,shishkin_part2,sanovich_part2,1,undirected
77,smirnov_part1,belov_part1,2,undirected
78,smirnov_part1,karelsky_part4,1,undirected
79,smirnov_part1,smirnov_part2,6,undirected
80,smirnov_part2,belov_part1,1,undirected
81,smirnov_part2,karelsky_part2,2,undirected
82,smirnov_part2,smirnov_part1,6,undirected
